id,severity,category,title,status,affected_area,evidence,recommended_fix,dependency,root_cause,finding_type,severity_rationale,environment,real_data_impact,blocks_phase
AUD-001,P1,storage,Application attachment storage uses memory provider on beta,open,beta pilot attachments,"APPLICATION_STORAGE_PROVIDER=memory; 4 attachments (3 pending); all from msztrk@gmail.com E2E/smoke; Map store in lib/applications/storage","Configure private B2 bucket acarindex-applications-pilot via configure-pilot-b2-storage.sh OR disable upload via feature flag until B2 ready; verify restart persistence",AUD-005,missing durable object storage for application files only,technical,"Beta uploads are test/E2E only (no real user production data); non-durable across restart still blocks Faz B closure",beta,yes — test attachment bytes lost on restart,yes — Faz B closure
AUD-003,P1,deploy,Beta SHA lags local audit + guard commits,open,beta deploy,"Beta 95152ba vs local pending push (4798bf4 + guard commit)","git pull origin redesign-v2; docker compose build app; up -d app",,deploy not run after audit commits,technical,pilot must run latest hotfixes and RBAC guards before gate re-run,beta,none,yes — gate accuracy
AUD-004,P1,infra,Beta disk usage above 80%,closed,beta host disk,"Was 86% (62G/75G); pilot-disk-cleanup reclaimed 2.9GB; now 69% (50G/75G)","Continue pilot-backup-retention; monitor; off-site B2 backup when creds ready",AUD-018,local backup accumulation + docker build cache,technical,operational risk to PG volume and deploy reliability,beta,none if retention maintained,no — resolved this audit
AUD-005,P1,infra,B2 credentials absent for application attachment storage,open,beta env + B2,"Closure gate B2 application storage BLOCKED; no B2_APPLICATION_* in pilot.env","Run configure-pilot-b2-storage.sh for acarindex-applications-pilot bucket only (NOT 1TB PDF archive)",,Backblaze keys not provisioned for pilot app storage,technical,blocks durable application uploads on beta,beta,test attachments only,yes — Faz B storage step
AUD-006,P1,security,Admin data-quality pages lacked permission guard,closed,admin UI,"app/admin/data-quality/page.tsx and [category]/page.tsx had layout-only requireAdminSession","Added requirePermission(data_quality.read) — blocks legacy EDITOR",,page guard not added during admin_permissions migration,technical,legacy EDITOR could read DQ summaries via direct URL,beta+local,none,no — fixed
AUD-007,P1,security,Admin ETL page lacked permission guard,closed,admin UI,app/admin/etl/page.tsx layout-only guard,Added requirePermission(etl.read) → manage_system_settings,,page guard gap,technical,legacy EDITOR could list ETL runs,beta+local,none,no — fixed
AUD-008,P1,data,736 draft journals in pilot DB (E2E/smoke residue),open,catalog data,"736 draft all created 2026-07; 0 linked to approved_journal_id; 735 unclear_or_etl + 1 test ISSN pattern; 221 without issues","Controlled cleanup via faz6b2-cleanup-smoke-artifacts.sh after backup + dry-run; do NOT delete without backup",AUD-017,E2E journal flow creates draft journals without cleanup,technical,data hygiene; public routes filter published only,beta,none — drafts not public,no — does not block features
AUD-009,P2,data,49 duplicate journal slug groups in catalog,open,catalog metadata,"49 slug groups; 26 with multiple published same slug; URLs use slug-id format so distinct IDs","Data quality review; no automatic slug changes; disambiguate only if canonical/sitemap conflict",,ETL import slug collision policy,technical,"Route architecture uses /journals/{slug}-{id}; no same full URL collision; sitemap emits per-id URLs",beta,none — no public route collision,no
AUD-010,P2,security,LEGACY_DUAL_READ authorization dual path,open,admin RBAC,admin-permissions.ts LEGACY_DUAL_READ_ENABLED true,Migrate all admin routes to admin_permissions; disable dual-read,,migration incomplete,technical,authorization complexity; not immediate exploit,beta+local,none,no
AUD-011,P2,performance,Search page ~2.6s response on beta,open,public search,curl localhost:3002/search?q=test,Profile search queries; add caching or index tuning,,query cost on large catalog,technical,UX latency on beta,beta,none,no
AUD-012,P2,performance,Home page cold/warm variance,open,public home,curl timing variance,Establish warm baseline; monitor catalog SSR under load,,SSR cache variance,technical,monitoring gap,beta,none,no
AUD-013,P3,security,Institutions search API is public unauthenticated,open,public API,"GET /api/institutions/search returns id,nameTr,nameEn only; min 2 chars; limit 10; no rate limit","Optional: rate limit + min query length; severity P3 — public catalog institution names only",,public catalog lookup for journal application wizard,technical,no PII; institution names are public catalog data,beta+local,none,no
AUD-014,P2,security,npm audit 2 moderate postcss via next,open,dependencies,npm audit GHSA-qx2v-qp2m-jg93,Track Next.js patch for postcss dependency,,transitive dependency,technical,moderate XSS in dev tooling path,beta+local,none,no
AUD-015,P2,operations,Storage integration tests FAIL on beta,open,closure gate,Closure gate step storage tests FAIL,Fix application B2 storage then re-run faz-b2-beta-storage-tests.sh,AUD-001 AUD-005,memory provider + no B2,technical,gate step not passing,beta,none,yes — Faz B closure
AUD-016,P2,operations,Outbox real email partially FAIL on beta,open,notifications,"Jul 5 run: pass=8 fail=4; revision/reject/approve triggers fail; retry+invalid-recipient PASS; 8 prior sent in DB",Verify Resend template/trigger wiring; re-run faz-b-beta-outbox-email.sh,AUD-001,trigger paths may depend on application state transitions,technical,email delivery not fully verified for all event types,beta,none,yes — Faz B closure
AUD-017,P2,operations,E2E journal application flow FAIL on beta,open,journal applications,"Jul 5 run: submit 422; revision/approve fail; likely validation + memory storage","Debug faz-b-beta-e2e-journal-flow.sh; need durable storage OR upload disabled first",AUD-001,memory storage + submit validation 422,technical,end-to-end journal publish path unverified,beta,none,yes — Faz B closure
AUD-018,P2,operations,PG off-site backup BLOCKED (separate from PDF archive),open,backup infra,Closure gate step 8 BLOCKED; local backups only,Configure B2_BACKUP_KEY_ID via configure-pilot-b2-backup.sh — PG dumps only NOT 1TB PDF,,B2 backup keys not provisioned,technical,disaster recovery gap for pilot DB,beta,none,yes — Faz B closure
AUD-019,P2,security,PDF proxy no application rate limit,open,pdf-proxy route,pdf-proxy route comments,Add edge rate limit before production,,hardening not implemented,technical,prod readiness item,beta+local,none,no
AUD-020,P3,ux,Editor links to public journal page for drafts,open,editor panel,editor/[journalId]/page.tsx,Hide link or warn when journal not published,,UX gap,technical,minor confusion,beta+local,none,no
AUD-021,P3,product,Editor panel direct edit placeholder,open,editor panel,yakında section,Plan post-closure editor features,,not implemented,operational,planned work,local,none,no
AUD-022,P3,product,Institution panel management placeholder,open,institution panel,kurum/[institutionId]/page.tsx,Plan post-closure institution features,,not implemented,operational,planned work,local,none,no
AUD-023,P3,product,Announcement and data_correction application flows unbuilt,open,applications,API accepts kinds; no dedicated wizard,Implement admin review and user wizards,,feature not built,operational,planned work,local,none,no
AUD-024,P3,tech-debt,Deprecated global EDITOR role confusion,open,RBAC,lib/auth/roles.ts,Document; migrate to journal_memberships only,,legacy role model,technical,confusion risk,beta+local,none,no
AUD-025,P3,tech-debt,Supabase/ETL legacy references,open,codebase,grep Supabase across lib/scripts,Continue PG-native consolidation,,migration residue,technical,maintainability,local,none,no
AUD-026,P3,tech-debt,types/database.ts manual placeholder,open,types,types/database.ts,Generate from Prisma when stable,,manual types,technical,maintainability,local,none,no
AUD-027,P3,infra,docker compose POSTGRES_USER warnings,open,compose CLI,docker compose ps warnings,Pass env-file consistently to compose CLI,,CLI env propagation,operational,cosmetic,beta,none,no
AUD-028,P3,data,4 application attachments 3 pending with memory storage,open,attachments,beta SQL pending=3 committed=1,After B2 verify committed status and download integrity,AUD-001,memory provider,technical,test data only,beta,test files only,no
GATE-001,gate,Faz B operational closure CLOSURE=HAYIR,open,closure gate,"Jul 4 full gate + Jul 5 partial re-runs; storage/E2E/outbox/B2 steps fail; regression PASS","Resolve AUD-001/005/015-018; re-run faz-b-operational-closure-gate.sh to CLOSURE=EVET","AUD-001,AUD-005,AUD-015,AUD-016,AUD-017,AUD-018",aggregate outcome of technical gaps,gate_status,not a root-cause finding — operational gate reflecting unresolved Faz B steps,beta,none,yes — Faz C blocked
